,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,* --HOUHouston Rockets,65,17,0.7929999999999999,-,34-7,31-10,12-4,41-11,112.4,103.9,8.5,L1,7-3
1,z --TORToronto Raptors,59,23,0.72,6,34-7,25-16,12-4,40-12,111.7,103.9,7.8,L1,6-4
2,y --GSGolden State Warriors,58,24,0.7070000000000001,7,29-12,29-12,13-3,34-18,113.5,107.5,6.0,L1,4-6
3,x --BOSBoston Celtics,55,27,0.6709999999999999,10,27-14,28-13,12-4,33-19,104.0,100.4,3.6,W1,6-4
4,x --PHIPhiladelphia 76ers,52,30,0.634,13,30-11,22-19,9-7,34-18,109.8,105.3,4.5,W16,10-0
5,y --CLECleveland Cavaliers,50,32,0.61,15,29-12,21-20,11-5,35-17,110.9,109.9,1.0,L1,7-3
6,y --PORPortland Trail Blazers,49,33,0.598,16,28-13,21-20,9-7,31-21,105.6,103.0,2.6,W1,5-5
7,x --OKCOklahoma City Thunder,48,34,0.585,17,27-14,21-20,5-11,28-24,107.9,104.4,3.5,W3,5-5
8,x --INDIndiana Pacers,48,34,0.585,17,27-14,21-20,10-6,32-20,105.6,104.2,1.4,L1,7-3
9,x --UTAHUtah Jazz,48,34,0.585,17,28-13,20-21,7-9,34-18,104.1,99.8,4.3,L1,7-3
10,x --NONew Orleans Pelicans,48,34,0.585,17,24-17,24-17,9-7,27-25,111.7,110.4,1.3,W5,6-4
11,x --SASan Antonio Spurs,47,35,0.573,18,33-8,14-27,9-7,29-23,102.7,99.8,2.9,L1,5-5
12,x --MINMinnesota Timberwolves,47,35,0.573,18,30-11,17-24,10-6,34-18,109.5,107.3,2.2,W3,6-4
13,e --DENDenver Nuggets,46,36,0.561,19,31-10,15-26,9-7,28-24,110.0,108.5,1.5,L1,7-3
14,y --MIAMiami Heat,44,38,0.537,21,26-15,18-23,11-5,31-21,103.4,102.9,0.5,W1,5-5
15,x --MILMilwaukee Bucks,44,38,0.537,21,25-16,19-22,6-10,27-25,106.5,106.8,-0.3,L1,6-4
16,x --WSHWashington Wizards,43,39,0.524,22,23-18,20-21,8-8,28-24,106.6,106.0,0.6,L1,3-7
17,e --LACLA Clippers,42,40,0.512,23,22-19,20-21,12-4,24-28,109.0,109.0,0.0,L4,4-6
18,e --DETDetroit Pistons,39,43,0.47600000000000003,26,25-16,14-27,9-7,24-28,103.8,103.9,-0.1,W1,7-3
19,e --CHACharlotte Hornets,36,46,0.439,29,21-20,15-26,11-5,22-30,108.2,108.0,0.2,W1,5-5
20,e --LALLos Angeles Lakers,35,47,0.42700000000000005,30,20-21,15-26,6-10,19-33,108.1,109.6,-1.5,W1,3-7
21,e --NYNew York Knicks,29,53,0.354,36,19-22,10-31,6-10,17-35,104.5,108.0,-3.5,W1,3-7
22,e --BKNBrooklyn Nets,28,54,0.341,37,15-26,13-28,1-15,19-33,106.6,110.3,-3.7,L1,5-5
23,e --SACSacramento Kings,27,55,0.32899999999999996,38,14-27,13-28,5-11,14-38,98.8,105.8,-7.0,W1,4-6
24,e --CHIChicago Bulls,27,55,0.32899999999999996,38,17-24,10-31,4-12,21-31,102.9,110.0,-7.1,L4,3-7
25,e --ORLOrlando Magic,25,57,0.305,40,17-24,8-33,5-11,15-37,103.4,108.2,-4.8,W1,4-6
26,e --DALDallas Mavericks,24,58,0.293,41,15-26,9-32,5-11,14-38,102.3,105.4,-3.1,L4,2-8
27,e --ATLAtlanta Hawks,24,58,0.293,41,16-25,8-33,5-11,12-40,103.4,108.8,-5.4,L1,3-7
28,e --MEMMemphis Grizzlies,22,60,0.268,43,16-25,6-35,5-11,18-34,99.3,105.5,-6.2,L2,3-7
29,e --PHXPhoenix Suns,21,61,0.256,44,10-31,11-30,4-12,15-37,103.9,113.3,-9.4,W1,2-8
